'Número de Autorización;'Fecha de Transacción;'Descripción;'Valor Original;'Tasa Pactada;'Tasa EA Facturada;'Cargos y Abonos;'Saldo a Diferir;'Cuotas
';'30/01/2025;'INTERESES CORRIENTES;'1,182.27;';';'1,182.27;'0.00;'
'000000;'30/01/2025;'CUOTA DE MANEJO;'48,490.00;';';'48,490.00;'0.00;'
'F04108;'30/01/2025;'DiDi CO Food;'21,900.00;'0,0000;'00,0000;'21,900.00;'0.00;'1/1
'000000;'29/01/2025;'AJUSTE MANUAL A FAVOR;'43,513.00-;';';'43,513.00-;'0.00;'
'F01759;'28/01/2025;'DiDi CO Food;'32,580.00;'0,0000;'00,0000;'32,580.00;'0.00;'1/1
'R09811;'28/01/2025;'RAPPI*RAPPI COLOMBIA;'216,000.00;'0,0000;'00,0000;'216,000.00;'0.00;'1/1
'R00996;'28/01/2025;'AMAZON.COM;'583,731.00;'0,0000;'00,0000;'583,731.00;'0.00;'1/1
'T02764;'27/01/2025;'SPOTIFY*DL;'26,400.00;'0,0000;'00,0000;'26,400.00;'0.00;'1/1
'R05881;'26/01/2025;'UBER RIDES;'26,451.00;'0,0000;'00,0000;'26,451.00;'0.00;'1/1
'R01881;'26/01/2025;'DLO*RAPPI COLOMBIA;'47,150.00;'0,0000;'00,0000;'47,150.00;'0.00;'1/1
'R03581;'25/01/2025;'LA TIENDA CAMDEN PENON;'36,207.00;'0,0000;'00,0000;'36,207.00;'0.00;'1/1
'R07844;'25/01/2025;'UBER RIDES;'23,153.00;'0,0000;'00,0000;'23,153.00;'0.00;'1/1
'R03640;'25/01/2025;'DLO*RAPPI COLOMBIA;'336,925.00;'0,0000;'00,0000;'336,925.00;'0.00;'1/1
'R05150;'25/01/2025;'DLO*RAPPI COLOMBIA;'83,950.00;'0,0000;'00,0000;'83,950.00;'0.00;'1/1
'R09029;'25/01/2025;'DLO*RAPPI COLOMBIA;'942,800.00;'0,0000;'00,0000;'942,800.00;'0.00;'1/1
'000000;'24/01/2025;'AJUSTE MANUAL A FAVOR;'36,667.00-;';';'36,667.00-;'0.00;'
'R06385;'24/01/2025;'LA MASCOTERIA;'62,900.00;'0,0000;'00,0000;'62,900.00;'0.00;'1/1
'R04716;'24/01/2025;'RAPPI*RAPPI COLOMBIA;'119,900.00;'0,0000;'00,0000;'119,900.00;'0.00;'1/1
'R01501;'24/01/2025;'DLO*RAPPI COLOMBIA;'121,250.00;'0,0000;'00,0000;'121,250.00;'0.00;'1/1
'R04519;'23/01/2025;'RAPPI*RAPPI COLOMBIA;'51,000.00;'0,0000;'00,0000;'51,000.00;'0.00;'1/1
'F03256;'23/01/2025;'DiDi CO Food;'27,169.00;'0,0000;'00,0000;'27,169.00;'0.00;'1/1
'F01057;'22/01/2025;'DiDi CO Food;'47,053.00;'0,0000;'00,0000;'47,053.00;'0.00;'1/1
'F08927;'22/01/2025;'SONOMA CUISINE;'277,500.00;'0,0000;'00,0000;'277,500.00;'0.00;'1/1
'F07135;'21/01/2025;'DiDi CO Food;'36,478.00;'0,0000;'00,0000;'36,478.00;'0.00;'1/1
;;;;;;;;
;;;;;;;;
'Confidence Scores % (Table Cell);;;;;;;;
"'95.11718750""";'92.28515625;'96.19140625;'95.65429688;'94.92187500;'94.72656250;'96.19140625;'95.80078125;'89.40429688
'85.54687500;'83.00781250;'86.52343750;'86.03515625;'85.40039063;'85.20507813;'86.52343750;'86.18164063;'80.46875000
'88.67187500;'86.03515625;'89.64843750;'89.16015625;'88.47656250;'88.33007813;'89.64843750;'89.30664063;'83.34960938
'87.10937500;'84.52148438;'88.08593750;'87.59765625;'86.96289063;'86.76757813;'88.08593750;'87.74414063;'81.88476563
'90.57617188;'87.84179688;'91.55273438;'91.06445313;'90.38085938;'90.18554688;'91.55273438;'91.21093750;'85.15625000
'91.25976563;'88.52539063;'92.28515625;'91.74804688;'91.06445313;'90.86914063;'92.28515625;'91.89453125;'85.79101563
'90.13671875;'87.45117188;'91.11328125;'90.62500000;'89.94140625;'89.74609375;'91.11328125;'90.77148438;'84.71679688
'90.77148438;'88.08593750;'91.79687500;'91.30859375;'90.62500000;'90.42968750;'91.79687500;'91.45507813;'85.35156250
'91.50390625;'88.76953125;'92.52929688;'91.99218750;'91.30859375;'91.11328125;'92.52929688;'92.13867188;'86.03515625
'90.13671875;'87.45117188;'91.11328125;'90.62500000;'89.94140625;'89.74609375;'91.11328125;'90.77148438;'84.71679688
'89.55078125;'86.86523438;'90.57617188;'90.03906250;'89.40429688;'89.20898438;'90.57617188;'90.18554688;'84.22851563
'89.89257813;'87.20703125;'90.91796875;'90.38085938;'89.69726563;'89.55078125;'90.91796875;'90.52734375;'84.52148438
'89.20898438;'86.52343750;'90.18554688;'89.69726563;'89.01367188;'88.81835938;'90.18554688;'89.84375000;'83.83789063
'88.86718750;'86.18164063;'89.84375000;'89.35546875;'88.67187500;'88.47656250;'89.84375000;'89.50195313;'83.54492188
'90.57617188;'87.89062500;'91.60156250;'91.11328125;'90.42968750;'90.23437500;'91.60156250;'91.25976563;'85.15625000
'87.69531250;'85.05859375;'88.67187500;'88.18359375;'87.50000000;'87.30468750;'88.67187500;'88.28125000;'82.42187500
'86.23046875;'83.64257813;'87.20703125;'86.71875000;'86.03515625;'85.88867188;'87.20703125;'86.81640625;'81.05468750
'86.96289063;'84.37500000;'87.93945313;'87.45117188;'86.81640625;'86.62109375;'87.93945313;'87.59765625;'81.78710938
'89.25781250;'86.62109375;'90.28320313;'89.79492188;'89.11132813;'88.91601563;'90.28320313;'89.89257813;'83.93554688
'87.50000000;'84.86328125;'88.47656250;'87.98828125;'87.30468750;'87.15820313;'88.47656250;'88.13476563;'82.27539063
'87.54882813;'84.91210938;'88.52539063;'88.03710938;'87.35351563;'87.20703125;'88.52539063;'88.18359375;'82.32421875
'91.06445313;'88.33007813;'92.08984375;'91.60156250;'90.86914063;'90.72265625;'92.08984375;'91.69921875;'85.64453125
'83.05664063;'80.56640625;'83.98437500;'83.54492188;'82.91015625;'82.71484375;'83.98437500;'83.64257813;'78.12500000
'80.17578125;'77.78320313;'81.05468750;'80.61523438;'79.98046875;'79.83398438;'81.05468750;'80.71289063;'75.34179688
'50.78125000;'49.29199219;'51.36718750;'51.07421875;'50.68359375;'50.58593750;'51.36718750;'51.17187500;'47.75390625
